,Train mse,train std,test mse,test std
CRIM,65.83229709955644,8.415018019373045,78.00267761469127,10.346305468926142
 ZN ,67.35213966070314,7.508921610875695,76.4959579536472,5.1710302528759025
INDUS ,55.30328822923771,7.881530803946706,62.93712893857681,5.21906209931838
CHAS,77.38127163906802,7.421629297508782,87.20778771499023,6.429890562543003
NOX,60.2406793575581,7.687858390746023,69.7215141303213,5.912747334411884
RM,35.89518426478635,3.215947544572823,40.17695987236077,2.833809785867756
AGE,64.41557190152103,7.525995491744355,74.09130282862985,5.385351017143592
DIS,72.5654577234291,8.228743586390365,81.90698410346508,5.814065820643075
RAD,61.61096743514711,7.0467265440257325,68.41735218156357,5.483829527386875
TAX,55.08384409982242,6.466270920051881,61.41152768874182,4.756147670504405
PTRATIO,48.17201992051197,4.438223910223411,51.76518733428344,4.229507676675349
LSTAT,32.578702644076,4.058026495228667,37.180438936825986,3.4460375217581842
Naive,79.95566233856823,8.179884713706622,89.31192199521165,6.631925151355791
MLR,13.04797858134711,1.227721266716545,18.046121783090594,1.9462891485026421
GKRR,13.736775636672974,4.176057506075814,30.598048210144043,5.599458801079558
